方案偏离
方案偏离完整表

          产品       试验           组别      指标          数值    分母口径   披露
          泰瑞奇单抗    澄明-3         治疗组     方案偏离        未公开   已随机    未公开
          泰瑞奇单抗    澄明-3         治疗组     重要方案偏离      未公开   已随机    未公开
          泰瑞奇单抗    澄明-3         治疗组     导致排除的方案偏离   未公开   已随机    未公开
          泰瑞奇单抗    澄明-3         对照组     方案偏离        未公开   已随机    未公开
          泰瑞奇单抗    澄明-3         对照组     重要方案偏离      未公开   已随机    未公开
          泰瑞奇单抗    澄明-3         对照组     导致排除的方案偏离   未公开   已随机    未公开
          安澜双抗     HORIZON-AD   治疗组     方案偏离        未公开   已随机    未公开
          安澜双抗     HORIZON-AD   治疗组     重要方案偏离      未公开   已随机    未公开
          安澜双抗     HORIZON-AD   治疗组     导致排除的方案偏离   未公开   已随机    未公开
          安澜双抗     HORIZON-AD   对照组     方案偏离        未公开   已随机    未公开
          安澜双抗     HORIZON-AD   对照组     重要方案偏离      未公开   已随机    未公开
          安澜双抗     HORIZON-AD   对照组     导致排除的方案偏离   未公开   已随机    未公开




               特应性皮炎临床试验结果比较 · 第 22 页
